faction,gen,unit,unknown,unknown,prize,attack,factionunits,damage,ap,bonusInf,bonusCav,defense,morale,charge,armour,unitclass,health
rom_carthage,False,Afr_Elephants,True,True,1400,54,1,60,30,0,0,21,55,24,30,elph,200
rom_carthage,False,Afr_War_Elephants,True,True,1600,64,1,60,30,0,0,24,65,44,30,elph,200
rom_carthage,True,Afr_War_Elephants,True,True,1600,64,1,60,30,0,0,24,65,44,30,elph,200
rom_carthage,False,Car_African_Pike,True,True,700,39,1,24,4,0,0,30,55,10,70,inf_pik,55
rom_carthage,False,Car_Ballista,True,False,1560,9,1,24,4,0,0,14,40,6,10,art_fld,45
rom_carthage,False,Car_Cav,True,True,610,41,1,25,5,0,15,34,55,34,65,cav_mel,75
rom_carthage,False,Car_Cheiroballistra,True,True,520,9,1,24,4,0,0,14,40,6,10,art_fld,45
rom_carthage,True,Car_General,True,True,460,23,1,29,5,0,15,56,55,20,90,com,95
rom_carthage,False,Car_Giant_Ballista,True,False,730,9,1,24,4,0,0,14,40,6,10,art_fix,45
rom_carthage,False,Car_Hoplites,True,True,620,36,1,29,5,0,20,51,55,20,80,inf_spr,60
rom_carthage,False,Car_Large_Onager,True,False,1790,9,1,24,4,0,0,14,40,6,10,art_fld,45
rom_carthage,False,Car_Late_Hoplites,True,True,650,36,1,29,5,0,20,51,55,20,85,inf_spr,60
rom_carthage,False,Car_Late_Libyan_Hoplites,True,True,300,24,1,20,5,0,30,43,45,20,80,inf_spr,50
rom_carthage,False,Car_Libyan_Hoplites,True,True,270,24,1,20,5,0,30,43,45,20,55,inf_spr,50
rom_carthage,False,Car_Libyan_Infantry,True,True,720,41,1,38,8,0,0,51,55,18,75,inf_mel,60
rom_carthage,False,Car_Libyan_Javelin,True,True,330,8,1,24,4,0,0,37,25,3,15,inf_mis,45
rom_carthage,False,Car_Libyan_Peltasts,True,True,440,26,1,24,4,0,0,44,40,10,65,inf_mis,50
rom_carthage,False,Car_Noble_Cav,True,True,1020,34,1,25,11,0,10,12,65,57,60,cav_shk,100
rom_carthage,True,Car_Noble_Cav,True,True,1020,34,1,25,11,0,10,12,65,57,60,cav_shk,100
rom_carthage,False,Car_Onager,True,False,1580,9,1,24,4,0,0,14,40,6,10,art_fld,45
rom_carthage,False,Car_Polybolos,True,True,620,9,1,24,4,0,0,14,40,7,10,art_fix,45
rom_carthage,False,Car_Sacred_Band,True,True,1170,42,1,29,5,0,20,59,70,22,105,inf_spr,65
rom_carthage,False,Car_Snake_Pot_Ballista,True,False,1560,9,1,24,4,0,0,14,40,6,10,art_fld,45
rom_carthage,False,Mer_Cel_Light_Horse,True,True,450,42,1,27,7,0,10,56,45,39,15,cav_mel,75
rom_carthage,False,Mer_Gal_Warriors,True,True,350,25,1,40,4,0,0,58,45,20,45,inf_mel,50
rom_carthage,False,Mer_Gre_Cretan_Archers,True,True,600,12,1,24,4,0,0,24,55,6,40,inf_mis,55
rom_carthage,False,Mer_Ibe_Balearic_Slingers,True,True,560,10,1,24,4,0,0,38,45,4,25,inf_mis,50
rom_carthage,False,Mer_Ibe_Cav,True,True,500,50,1,39,5,0,0,50,40,31,15,cav_mel,75
rom_carthage,False,Mer_Ibe_Noble_Fighters,True,True,1380,56,1,41,5,0,0,62,70,38,75,inf_mel,65
rom_carthage,False,Mer_Ibe_Scutarii_Cav,True,True,680,42,1,25,5,0,15,44,55,37,55,cav_mel,80
rom_carthage,False,Mer_Ibe_Scutarii,True,True,620,42,1,35,5,0,0,60,50,21,60,inf_mel,55
rom_carthage,False,Mer_Ibe_Sword,True,True,320,35,1,35,5,0,0,60,40,20,15,inf_mel,50
rom_carthage,False,Mer_Ita_Campanian_Cavalry,True,True,1290,69,1,41,5,0,0,30,70,33,90,cav_mel,100
rom_carthage,False,Mer_Ita_Samnite_Warriors,True,True,760,36,1,34,4,0,0,55,55,25,95,inf_mel,65
